word_count,afinn_raw,afinn_norm,bing_pos,bing_neg,bing_net_raw,bing_net_norm,nrc_pos,nrc_neg,nrc_net_raw,nrc_net_norm,nrc_anger,nrc_fear,nrc_joy,nrc_sadness,nrc_trust,category,file,title,url
1370,28,0.020437956204379562,43,26,17,0.012408759124087591,112,24,88,0.06423357664233577,7,14,53,16,61,health,health_11.txt,Seven ways to trick yourself into eating better,https://www.bbc.com/future/article/20260605-how-to-trick-yourself-into-eating-better
1016,104,0.10236220472440945,52,17,35,0.0344488188976378,88,25,63,0.06200787401574803,5,6,24,17,42,health,health_12.txt,Why moving about is key for children's health - and happiness,https://www.bbc.com/future/article/20260522-to-get-children-to-move-more-we-need-to-intervene
2238,-1,-0.00044682752457551384,55,75,-20,-0.008936550491510277,101,67,34,0.01519213583556747,18,47,25,24,56,health,health_13.txt,Japan is gripped by mass allergies. A 1950s project is to blame,https://www.bbc.com/future/article/20260515-the-1950s-blunder-which-causes-mass-hay-fever-in-japan
1369,74,0.05405405405405406,54,20,34,0.02483564645726808,68,27,41,0.029948867786705625,11,17,18,10,38,health,health_14.txt,What is the best clothing to keep you cool in a heatwave?,https://www.bbc.com/future/article/20230802-what-is-the-best-clothing-to-keep-you-cool
227,4,0.01762114537444934,6,6,0,0.0,16,6,10,0.04405286343612335,5,7,3,5,10,health,health_15.txt,'Exciting' Guernsey cancer trial launched,https://www.bbc.com/news/articles/cvgl8mr08nvo
826,72,0.08716707021791767,35,21,14,0.01694915254237288,46,35,11,0.013317191283292978,11,13,22,7,29,health,health_16.txt,How 20 minutes of nature can boost your health,https://www.bbc.com/news/articles/cvg0yvdjgn5o
1903,-78,-0.040987913820283765,35,77,-42,-0.02207041513399895,78,63,15,0.007882291119285338,29,38,19,40,46,health,health_17.txt,What screen time does to children's brains is more complicated than it seems,https://www.bbc.com/news/articles/c9d0l40v551o
1735,49,0.02824207492795389,60,63,-3,-0.001729106628242075,90,54,36,0.0207492795389049,21,35,41,22,65,health,health_18.txt,Blueprint of a cure: The rare people who are invulnerable to HIV,https://www.bbc.com/future/article/20260604-why-some-rare-people-are-invulnerable-to-hiv
1975,17,0.008607594936708861,62,80,-18,-0.009113924050632912,99,98,1,0.0005063291139240507,52,77,20,60,48,health,health_19.txt,Aspirin can reduce the risk of cancer - and we're starting to understand why,https://www.bbc.com/future/article/20260420-cancer-how-aspirin-may-be-a-powerful-new-weapon-against-tumours
2021,-13,-0.006432459178624443,61,112,-51,-0.025235032162295893,101,67,34,0.01682335477486393,27,65,24,37,62,health,health_20.txt,An end to hay fever? The new wave of effective cures for seasonal allergies,https://www.bbc.com/future/article/20260313-hay-fever-the-new-wave-of-effective-cures-for-seasonal-allergies
